City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Natal,BR,-5.795,-35.2094,86.0,62,40,16.11,scattered clouds
270,Nabire,ID,-3.3667,135.4833,75.42,88,99,2.57,overcast clouds
271,Valerik,RU,43.1797,45.4081,46.4,53,0,2.24,clear sky
272,Puerto Maldonado,PE,-12.6,-69.1833,75.2,94,75,3.44,light rain
273,Labrea,BR,-7.2586,-64.7981,90.21,54,100,2.59,heavy intensity rain
274,Gornopravdinsk,RU,60.05,69.9,13.62,97,100,5.39,overcast clouds
275,Ialibu,PG,-6.2821,143.9935,55.72,98,99,1.03,overcast clouds
276,Seydi,TM,39.4816,62.9137,40.64,72,96,4.97,overcast clouds
277,Emerald,AU,-23.5333,148.1667,77.0,78,40,11.5,scattered clouds
278,Itaituba,BR,-4.2761,-55.9836,91.27,52,19,2.64,few clouds
279,Saskylakh,RU,71.9167,114.0833,-20.34,86,99,8.34,overcast clouds
280,Broome,US,42.2506,-75.833,25.0,63,90,14.97,overcast clouds
281,Vila,PT,42.0304,-8.1588,59.0,58,0,5.75,clear sky
282,Sainte-Maxime,FR,43.3,6.6333,53.01,87,0,2.3,clear sky
283,Egvekinot,RU,66.3167,-179.1667,-30.62,89,94,2.24,overcast clouds
284,Las Vegas,US,36.175,-115.1372,73.99,15,1,12.66,clear sky
285,Lata,PT,40.1629,-8.3327,57.99,84,68,7.0,broken clouds
286,Buraydah,SA,26.326,43.975,62.6,39,0,4.61,clear sky
287,Marawi,PH,7.9986,124.2928,72.0,90,60,7.0,broken clouds
288,Yulara,AU,-25.2406,130.9889,80.6,47,90,5.75,overcast clouds
289,Sitka,US,57.0531,-135.33,39.2,70,90,3.44,light snow
290,Waitati,NZ,-45.75,170.5667,55.0,69,0,15.01,clear sky
291,Emporia,US,38.4039,-96.1817,62.6,45,20,11.5,few clouds
292,Adre,TD,13.4667,22.2,78.21,16,0,13.2,clear sky
293,Coquimbo,CL,-29.9533,-71.3436,71.6,64,20,13.8,few clouds
294,Brainerd,US,46.358,-94.2008,44.01,36,1,5.75,clear sky
295,Chuy,UY,-33.6971,-53.4616,74.44,59,21,10.25,few clouds
296,Batemans Bay,AU,-35.7167,150.1833,59.0,95,89,3.51,overcast clouds
297,Sale,MA,34.0389,-6.8166,60.01,88,40,3.44,scattered clouds
298,Thunder Bay,CA,48.4001,-89.3168,28.4,40,1,10.36,clear sky
299,Priiskovyy,RU,51.9333,116.6333,-4.83,90,26,3.15,scattered clouds
300,Fresno,US,36.6666,-119.8343,59.0,54,75,12.66,broken clouds
301,Locri,IT,38.2414,16.2623,57.99,77,90,3.44,overcast clouds
302,Fukumitsu,JP,36.55,136.8667,39.0,73,100,1.01,overcast clouds
303,Alyangula,AU,-13.8483,136.4192,78.8,94,93,12.71,overcast clouds
304,Orcopampa,PE,-15.2661,-72.3417,56.34,51,92,8.37,overcast clouds
305,Codrington,AU,-38.2667,141.9667,49.68,93,100,6.24,overcast clouds
306,Aripuana,BR,-9.1667,-60.6333,89.47,54,3,2.68,clear sky
307,North Myrtle Beach,US,33.816,-78.68,52.0,31,90,5.75,overcast clouds
308,Tubuala,PA,9.5167,-79.0333,89.6,40,40,6.91,scattered clouds
309,Charters Towers,AU,-20.1,146.2667,72.37,83,32,7.07,scattered clouds
310,Ziro,IN,27.6333,93.8333,42.1,100,100,2.77,overcast clouds
311,Mahibadhoo,MV,3.7833,72.9667,82.51,73,0,10.98,clear sky
312,Khandyga,RU,62.6667,135.6,-37.41,80,0,1.9,clear sky
313,Liwale,TZ,-9.7667,37.9333,71.44,95,12,2.86,moderate rain
314,Zabaykalsk,RU,49.6333,117.3167,3.74,92,0,7.38,clear sky
315,Mikhaylovka,RU,50.06,43.2379,27.0,93,100,1.01,overcast clouds
316,Victoria,HK,22.2855,114.1577,69.01,91,6,8.75,clear sky
317,Pakxan,LA,18.3778,103.6601,73.94,54,0,5.39,clear sky
