City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,Araceli,PH,3/2/21 22:56,10.5529,119.9913,81.25,75,87,17.45
227,Bambous Virieux,MU,3/2/21 22:55,-20.3428,57.7575,78.8,83,75,5.75
228,Ankang,CN,3/2/21 22:56,32.68,109.0172,48.99,26,95,10
229,Shillong,IN,3/2/21 22:56,25.5689,91.8831,60.8,63,40,2.04
230,Sao Jose Da Coroa Grande,BR,3/2/21 22:56,-8.8978,-35.1478,78.55,83,18,10.2
231,Njombe,TZ,3/2/21 22:56,-9.3333,34.7667,56.17,95,100,2.1
232,Oromocto,CA,3/2/21 22:53,45.8351,-66.4792,14,57,75,23.02
233,Kagal,IN,3/2/21 22:56,16.5833,74.3167,72.81,36,0,4.88
234,Christchurch,NZ,3/2/21 22:53,-43.5333,172.6333,77,38,44,11.5
235,Shingu,JP,3/2/21 22:56,33.7333,135.9833,39.2,60,20,13.8
236,Yumbe,UG,3/2/21 22:56,3.4651,31.2469,77.34,32,97,1.66
237,Illapel,CL,3/2/21 22:56,-31.6308,-71.1653,73.72,57,76,4.7
238,Yangjiang,CN,3/2/21 22:53,21.85,111.9667,65.68,80,99,12.95
239,Lysva,RU,3/2/21 22:56,58.1086,57.8053,18.54,96,100,7.78
240,Dawlatabad,AF,3/2/21 22:57,36.4141,64.9053,52.61,50,90,3.49
241,Linares,CL,3/2/21 22:57,-35.85,-71.6,80.98,43,0,6.76
242,Klaksvik,FO,3/2/21 22:52,62.2266,-6.589,42.8,93,90,2.3
243,Nanortalik,GL,3/2/21 22:57,60.1432,-45.2371,26.1,83,1,12.15
244,Ucluelet,CA,3/2/21 22:57,48.9329,-125.5528,45,81,90,10.36
245,Dali,CN,3/2/21 22:57,25.7,100.1833,43.97,81,2,3.29
246,Nusaybin,TR,3/2/21 22:55,37.0778,41.2178,48.36,66,0,6.4
247,Ducheng,CN,3/2/21 22:57,23.2373,111.5317,62.04,68,98,4.36
248,Streator,US,3/2/21 22:57,41.1209,-88.8354,46.4,57,1,11.5
249,Mareeba,AU,3/2/21 22:57,-17,145.4333,80.6,74,90,19.57
250,Palmer,US,3/2/21 22:57,42.1584,-72.3287,26.6,26,1,21.85
251,Tiksi,RU,3/2/21 22:57,71.6872,128.8694,-32.58,85,100,3.24
252,Arman,RU,3/2/21 22:57,59.7,150.1667,-0.78,90,100,3.31
253,Saint-Augustin,CA,3/2/21 22:52,51.226,-58.6502,19.17,96,100,10.58
254,San Luis,AR,3/2/21 22:53,-33.295,-66.3356,69.8,88,75,6.91
255,Belen,TR,3/2/21 22:57,36.4891,36.2233,48.2,100,75,4.61
256,Walvis Bay,NA,3/2/21 22:57,-22.9575,14.5053,69.01,86,0,3
257,Hasaki,JP,3/2/21 22:57,35.7333,140.8333,39.99,56,20,14.97
258,Cheremukhovo,RU,3/2/21 22:57,60.3484,59.9851,4.95,93,94,2.64
259,Abnub,EG,3/2/21 22:57,27.2696,31.1511,51.8,71,0,6.91
260,Airai,TL,3/2/21 22:52,-8.9266,125.4092,63.36,97,90,1.14
261,Kizhinga,RU,3/2/21 22:57,51.8462,109.9097,3.92,93,96,2.04
